Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1300453,7/22/15,12/17/15,21543470,2154347000,21543470,100,1205,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300453,SRX554258,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621543,SAMN02740064,simple,41875,Bathycoccus prasinos,MMETSP1399,,,,,,,no,,,,,NCGR,SRA167331,,public,515A2E01FEBB17EEBB709F29C7DF0FFC,692250E55B6952B530D53C47A69967EF
SRR1300454,7/22/15,12/17/15,21328638,2132863800,21328638,100,1321,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300454,SRX554259,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621544,SAMN02740050,simple,38832,Micromonas,MMETSP1400,,,,,,,no,,,,,NCGR,SRA167331,,public,53C7763B5AB0EFAB4EFDDBE9DF23D9B4,13D251673BCE5A4CE09A8F9361D6708C
SRR1300455,7/22/15,12/17/15,21997808,2199780800,21997808,100,1374,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300455,SRX554260,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621546,SAMN02740132,simple,38833,Micromonas pusilla,MMETSP1401,,,,,,,no,,,,,NCGR,SRA167331,,public,77BC79A1B249CB65924F41AD025CEC66,717D9BFBD07D9C049009DB7E1BF9C827
SRR1300456,7/22/15,12/17/15,19188178,1918817800,19188178,100,1180,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300456,SRX554261,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621545,SAMN02740259,simple,38833,Micromonas pusilla,MMETSP1402,,,,,,,no,,,,,NCGR,SRA167331,,public,A966BE2E0EA0E7D07B165D614F33DD80,D50E6EB80DAE0001E116D54CE3F88983
SRR1300457,7/22/15,12/17/15,18875788,1887578800,18875788,100,1084,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300457,SRX554262,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621547,SAMN02740090,simple,38833,Micromonas pusilla,MMETSP1403,,,,,,,no,,,,,NCGR,SRA167331,,public,A208FDF224CFBA342AE7EDEFCA40CF2C,2336AB04B0E71068CB38A03DCDCC5323
SRR1300458,7/22/15,12/17/15,18886293,1888629300,18886293,100,1162,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300458,SRX554263,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621548,SAMN02740040,simple,38833,Micromonas pusilla,MMETSP1404,,,,,,,no,,,,,NCGR,SRA167331,,public,C639F8302FE6445FBB59A54F1B78B790,F2E000ADC02A55E28F82C7E745BA9DC8
SRR1300459,7/22/15,12/17/15,17471807,1747180700,17471807,100,920,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300459,SRX554264,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621549,SAMN02740603,simple,5936,Moneuplotes crassus,MMETSP1380,,,,,,,no,,,,,NCGR,SRA167331,,public,A548A014F0C2B5162703FA1CEA81CD39,7C5E6AA0B0940A88B68117BCD2ED04E6
SRR1300460,7/22/15,12/17/15,23828999,2382899900,23828999,100,1416,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300460,SRX554265,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621550,SAMN02740377,simple,311385,Pseudokeronopsis,MMETSP1396,,,,,,,no,,,,,NCGR,SRA167331,,public,7EF6735B251DE6AD3A0173D838946BE2,FFEA852EDCCB916A55EE3124B9378C94
SRR1300461,7/22/15,12/17/15,21274958,4254991600,21274958,200,2521,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300461,SRX554266,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621551,SAMN02740608,simple,49980,Climacostomum virens,MMETSP1397,,,,,,,no,,,,,NCGR,SRA167331,,public,43AEEEDA8BDA43D129676B687BE686AF,5C9E90E73F5EB55C16DF84C0DDED17C4
SRR1300462,7/22/15,12/17/15,20929170,2092917000,20929170,100,1131,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300462,SRX554267,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621552,SAMN02740609,simple,267567,Skeletonema marinoi,MMETSP1428,,,,,,,no,,,,,NCGR,SRA167331,,public,9C0B4234BAEDDCC11C6C9C68E12C340F,5BDCAB1BD41AF34D87CCE13035F5E830
SRR1300463,7/22/15,12/17/15,16951181,1695118100,16951181,100,915,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300463,SRX554268,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621553,SAMN02740610,simple,49240,Chaetoceros sp.,MMETSP1429,,,,,,,no,,,,,NCGR,SRA167331,,public,497A87DC6F13D65E42F78D4D08104F69,F33A2AB31743350FD8E121B74C1E4A77
SRR1300464,7/22/15,12/17/15,13299930,1329993000,13299930,100,726,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300464,SRX554269,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621554,SAMN02740611,simple,44447,Pseudo-nitzschia delicatissima,MMETSP1432,,,,,,,no,,,,,NCGR,SRA167331,,public,192D896280A60C5E24C60AE13DF1CEF2,2813093264619923ACB9440F1166CFA4
SRR1300465,7/22/15,12/17/15,30299389,6059877800,30299389,200,3607,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300465,SRX554270,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621555,SAMN02740099,simple,39448,Prorocentrum lima,MMETSP0252,,,,,,,no,,,,,NCGR,SRA167331,,public,83F91D64F48C2497D2B586DFD7685FA2,64642BCE2C0172F667B956C9CEADC236
SRR1300466,7/22/15,12/17/15,70683384,14136676800,70683384,200,8445,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300466,SRX554271,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621556,SAMN02740441,simple,2945,Prorocentrum micans,MMETSP0251_2,,,,,,,no,,,,,NCGR,SRA167331,,public,86B20C1AA9962EF2A01CF9F2E3CD0F9D,03300D7FD4525C93AC1071849E718A6A
SRR1300467,7/22/15,12/17/15,31325330,3132533000,31325330,100,1922,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300467,SRX554272,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621557,SAMN02740436,simple,2972,Pyrocystis lunula,MMETSP0229_2,,,,,,,no,,,,,NCGR,SRA167331,,public,94C4AF697876131E827F5A84294E785A,07CF77C006E33E254CFE6B5145A60221
SRR1300468,7/22/15,12/17/15,32509492,3250949200,32509492,100,1998,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300468,SRX554273,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621558,SAMN02740199,simple,210733,Lessardia elongata,MMETSP1147,,,,,,,no,,,,,NCGR,SRA167331,,public,7006FA20D7E2A3E2200258321A0114B7,894E2AEFBD1F59DF9A713C0735B887E6
SRR1300469,7/22/15,12/17/15,30459864,3045986400,30459864,100,1856,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300469,SRX554274,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621559,SAMN02740200,simple,285985,Gyrodinium dominans,MMETSP1148,,,,,,,no,,,,,NCGR,SRA167331,,public,3C25FE20369540025689C28CC5CCFFAF,B01A5910CDBE88C2428368347BD5E397
SRR1300470,7/22/15,12/17/15,17979373,1797937300,17979373,100,1003,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300470,SRX554275,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621560,SAMN02740600,simple,2950,Symbiodinium sp.,MMETSP1370,,,,,,,no,,,,,NCGR,SRA167331,,public,C30DB9E015B62AFD295DE750CBF911C0,50B48C640884E58EFFB337E4099D8A36
SRR1300471,7/22/15,12/17/15,19591980,1959198000,19591980,100,1087,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300471,SRX554276,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621561,SAMN02740601,simple,2950,Symbiodinium sp.,MMETSP1371,,,,,,,no,,,,,NCGR,SRA167331,,public,BC26A746C744D31F5002BA419F104081,D7439CFC3AA796AF380166499CBB22AE
SRR1300472,7/22/15,12/17/15,18294955,1829495500,18294955,100,1058,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300472,SRX554277,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621562,SAMN02739989,simple,2969,Oxyrrhis marina,MMETSP1424,,,,,,,no,,,,,NCGR,SRA167331,,public,E97F7EDCB5DCEAB3BAB079106758EFDC,C71B1BA39FF16BEE0BAD721363DC47A3
SRR1300473,7/22/15,12/17/15,19966975,1996697500,19966975,100,1148,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300473,SRX554278,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621563,SAMN02739990,simple,2969,Oxyrrhis marina,MMETSP1425,,,,,,,no,,,,,NCGR,SRA167331,,public,27D271B4A795787925A5A48DBCD4EB8A,1796AAEF6185586C7CB0B2442FCC6438
SRR1300474,7/22/15,12/17/15,23289414,4657882800,23289414,200,2797,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300474,SRX554279,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621564,SAMN02739991,simple,2969,Oxyrrhis marina,MMETSP1426,,,,,,,no,,,,,NCGR,SRA167331,,public,D417171B2A375DFB5240F61C5F966C9D,2AEA91F91E75A9452B1F8E8483D43B88
SRR1300475,7/22/15,12/17/15,22738024,2273802400,22738024,100,1354,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300475,SRX554280,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621565,SAMN02740606,simple,933848,Elphidium margaritaceum,MMETSP1385,,,,,,,no,,,,,NCGR,SRA167331,,public,38BDE3979140EB341A1FD9A61568FA00,93AA4A67D3EE1D26D9F7528D352775AB
SRR1300476,7/22/15,12/17/15,19788124,1978812400,19788124,100,1207,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300476,SRX554281,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621566,SAMN02740002,simple,67004,Thalassiosira weissflogii,MMETSP1405,,,,,,,no,,,,,NCGR,SRA167331,,public,AAFECF0F24E0951659F31D665D9061A8,2F903A7021E96AC303FC593581724BA6
SRR1300477,7/22/15,12/17/15,23487721,2348772100,23487721,100,1435,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300477,SRX554282,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621567,SAMN02740003,simple,67004,Thalassiosira weissflogii,MMETSP1406,,,,,,,no,,,,,NCGR,SRA167331,,public,CAD99385577A405AFE2E046CFAEFEFF2,66A725C0B992517A7F34C84B4B38A1F1
SRR1300478,7/22/15,12/17/15,20032366,2003236600,20032366,100,1102,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300478,SRX554283,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621568,SAMN02740004,simple,67004,Thalassiosira weissflogii,MMETSP1407,,,,,,,no,,,,,NCGR,SRA167331,,public,36CFF3A0C9289BB972D47102D22BC68C,EA0A85ACBCD6712BB002E728522E9DA2
SRR1300479,7/22/15,12/17/15,25158093,2515809300,25158093,100,1534,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300479,SRX554284,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621570,SAMN02740005,simple,67004,Thalassiosira weissflogii,MMETSP1408,,,,,,,no,,,,,NCGR,SRA167331,,public,5E8130C39A987D736182D804586928EF,13A07D183543A6143D4DFC675B515B90
SRR1300480,7/22/15,12/17/15,22907864,2290786400,22907864,100,1397,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300480,SRX554285,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621569,SAMN02740006,simple,67004,Thalassiosira weissflogii,MMETSP1409,,,,,,,no,,,,,NCGR,SRA167331,,public,67FA2B0E405DF94D774A3FE26F9850F7,8C7D37AB497558EA06A218456EDFD846
SRR1300481,7/22/15,12/17/15,24124476,2412447600,24124476,100,1467,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300481,SRX554286,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621571,SAMN02740007,simple,67004,Thalassiosira weissflogii,MMETSP1410,,,,,,,no,,,,,NCGR,SRA167331,,public,AA42753E39ECC743D48A1E69509F91E5,FCD5EBAE66531F5DC3169D68D3699736
SRR1300482,7/22/15,12/17/15,26388670,2638867000,26388670,100,1606,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300482,SRX554287,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621572,SAMN02740009,simple,67004,Thalassiosira weissflogii,MMETSP1412,,,,,,,no,,,,,NCGR,SRA167331,,public,5927B52527BE8D2C28542B5BD753D4FB,7730E065778D81098E66DE82792E26AC
SRR1300483,7/22/15,12/17/15,19218722,1921872200,19218722,100,1142,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300483,SRX554288,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621573,SAMN02740010,simple,67004,Thalassiosira weissflogii,MMETSP1413,,,,,,,no,,,,,NCGR,SRA167331,,public,9F82CDBD4D5362C45954EB98EDBF1C70,ACC1BD710828A8F3C08740DBA88B5EAC
SRR1300484,7/22/15,12/17/15,21861163,2186116300,21861163,100,1300,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300484,SRX554289,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621574,SAMN02740011,simple,67004,Thalassiosira weissflogii,MMETSP1414,,,,,,,no,,,,,NCGR,SRA167331,,public,D87804D23FB234793F5CE2D658AA5FD1,4307703F1E1FB9B6B2EBEA92E0BE5A11
SRR1300485,7/22/15,12/17/15,19515055,1951505500,19515055,100,1168,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300485,SRX554290,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621575,SAMN02740012,simple,67004,Thalassiosira weissflogii,MMETSP1415,,,,,,,no,,,,,NCGR,SRA167331,,public,167109CC9298C58E3303A21BF4FD1CB1,91FA6E386F082D1DB491CCBDBEA97E7E
SRR1300486,7/22/15,12/17/15,23135069,2313506900,23135069,100,1380,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300486,SRX554291,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621576,SAMN02740013,simple,67004,Thalassiosira weissflogii,MMETSP1416,,,,,,,no,,,,,NCGR,SRA167331,,public,E78382186435A56B4C183301D91F280A,934CD3AF0634FC31C1474F11EDF344E8
SRR1300487,7/22/15,12/17/15,20353676,2035367600,20353676,100,1214,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300487,SRX554292,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621577,SAMN02740014,simple,67004,Thalassiosira weissflogii,MMETSP1417,,,,,,,no,,,,,NCGR,SRA167331,,public,F3DCF1657590E872188C05648D038E83,4041CA037704B3D37B92BF20BF2EE3C7
SRR1300488,7/22/15,12/17/15,21356988,2135698800,21356988,100,1267,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300488,SRX554293,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621579,SAMN02740015,simple,67004,Thalassiosira weissflogii,MMETSP1418,,,,,,,no,,,,,NCGR,SRA167331,,public,60EE5B7EEA72862C6C0BAE56597CE352,E4DE1EB5678AB28DE89D07275B75E930
SRR1300489,7/22/15,12/17/15,22985175,2298517500,22985175,100,1365,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300489,SRX554294,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621578,SAMN02740016,simple,67004,Thalassiosira weissflogii,MMETSP1419,,,,,,,no,,,,,NCGR,SRA167331,,public,AEAC51041E9B3971CCC8E3DD8192EF1C,5670C30913D911BC078896203FBA7296
SRR1300490,7/22/15,12/17/15,25531993,2553199300,25531993,100,1517,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300490,SRX554295,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621580,SAMN02740017,simple,67004,Thalassiosira weissflogii,MMETSP1420,,,,,,,no,,,,,NCGR,SRA167331,,public,6BC6E59BE0AE2E75E3171B3BF450D87D,1E396652E45CCD32F8F7412A75824B0B
SRR1300491,7/22/15,12/17/15,21287532,2128753200,21287532,100,1292,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300491,SRX554296,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621581,SAMN02740019,simple,67004,Thalassiosira weissflogii,MMETSP1422,,,,,,,no,,,,,NCGR,SRA167331,,public,3142234FA5BBA061859CEA33F6D705A4,1961ECE257FC1012CD91ED1497642919
SRR1300492,7/22/15,12/17/15,14670448,1467044800,14670448,100,808,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300492,SRX554297,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621582,SAMN02740581,simple,1003142,Triceratium dubium,MMETSP1175,,,,,,,no,,,,,NCGR,SRA167331,,public,3DF0A2F2E51F2CD8C8794D03B4A8860F,451B9FAE839CB0E093FE39E773C3F481
